"Notes","State","State Code","Year","Year Code","OE Gestational Age 10","OE Gestational Age 10 Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births,Average Birth Weight
,"Alabama","01","2015","2015","32 - 35 weeks","04","3500 - 3999 grams","08",36,3742.53
,"Alabama","01","2015","2015","36 weeks","05","1500 - 1999 grams","04",111,1852.57
,"Alabama","01","2015","2015","36 weeks","05","2000 - 2499 grams","05",710,2310.44
,"Alabama","01","2015","2015","36 weeks","05","2500 - 2999 grams","06",1116,2737.68
,"Alabama","01","2015","2015","36 weeks","05","3000 - 3499 grams","07",515,3186.70
,"Alabama","01","2015","2015","36 weeks","05","3500 - 3999 grams","08",133,3705.47
,"Alabama","01","2015","2015","36 weeks","05","4000 - 4499 grams","09",24,4182.08
,"Alabama","01","2015","2015","37 - 39 weeks","06","1500 - 1999 grams","04",115,1868.70
,"Alabama","01","2015","2015","37 - 39 weeks","06","2000 - 2499 grams","05",1703,2343.40
,"Alabama","01","2015","2015","37 - 39 weeks","06","2500 - 2999 grams","06",9206,2802.80
,"Alabama","01","2015","2015","37 - 39 weeks","06","3000 - 3499 grams","07",17763,3247.10
,"Alabama","01","2015","2015","37 - 39 weeks","06","3500 - 3999 grams","08",9762,3704.05
,"Alabama","01","2015","2015","37 - 39 weeks","06","4000 - 4499 grams","09",2225,4185.23
,"Alabama","01","2015","2015","37 - 39 weeks","06","4500 - 4999 grams","10",335,4671.18
,"Alabama","01","2015","2015","37 - 39 weeks","06","5000 - 8165 grams","11",53,5235.51
,"Alabama","01","2015","2015","40 weeks","07","2000 - 2499 grams","05",68,2361.21
,"Alabama","01","2015","2015","40 weeks","07","2500 - 2999 grams","06",1008,2834.42
,"Alabama","01","2015","2015","40 weeks","07","3000 - 3499 grams","07",4058,3273.70
,"Alabama","01","2015","2015","40 weeks","07","3500 - 3999 grams","08",3356,3719.22
,"Alabama","01","2015","2015","40 weeks","07","4000 - 4499 grams","09",852,4184.19
,"Alabama","01","2015","2015","40 weeks","07","4500 - 4999 grams","10",118,4641.94
,"Alabama","01","2015","2015","41 weeks","08","2500 - 2999 grams","06",152,2842.10
,"Alabama","01","2015","2015","41 weeks","08","3000 - 3499 grams","07",679,3288.94
,"Alabama","01","2015","2015","41 weeks","08","3500 - 3999 grams","08",732,3735.44
,"Alabama","01","2015","2015","41 weeks","08","4000 - 4499 grams","09",248,4202.06
,"Alabama","01","2015","2015","41 weeks","08","4500 - 4999 grams","10",52,4640.38
,"Alabama","01","2015","2015","42 weeks or more","09","2500 - 2999 grams","06",13,2906.54
,"Alabama","01","2015","2015","42 weeks or more","09","3000 - 3499 grams","07",34,3250.91
,"Alabama","01","2015","2015","42 weeks or more","09","3500 - 3999 grams","08",45,3733.71
,"Alabama","01","2015","2015","42 weeks or more","09","4000 - 4499 grams","09",21,4169.43
,"Alabama","01","2016","2016","Under 20 weeks","01","Unknown or Not Stated","12",11,Not Applicable
,"Alabama","01","2016","2016","20 - 27 weeks","02","499 grams or less","01",135,404.24
,"Alabama","01","2016","2016","20 - 27 weeks","02","500 - 999 grams","02",377,722.02
,"Alabama","01","2016","2016","20 - 27 weeks","02","1000 - 1499 grams","03",58,1110.24
,"Alabama","01","2016","2016","28 - 31 weeks","03","500 - 999 grams","02",96,855.17
,"Alabama","01","2016","2016","28 - 31 weeks","03","1000 - 1499 grams","03",335,1269.80
,"Alabama","01","2016","2016","28 - 31 weeks","03","1500 - 1999 grams","04",201,1687.58
,"Alabama","01","2016","2016","28 - 31 weeks","03","2000 - 2499 grams","05",21,2154.05
,"Alabama","01","2016","2016","32 - 35 weeks","04","1000 - 1499 grams","03",114,1332.00
,"Alabama","01","2016","2016","32 - 35 weeks","04","1500 - 1999 grams","04",761,1798.94
,"Alabama","01","2016","2016","32 - 35 weeks","04","2000 - 2499 grams","05",1311,2250.01
,"Alabama","01","2016","2016","32 - 35 weeks","04","2500 - 2999 grams","06",727,2698.27
,"Alabama","01","2016","2016","32 - 35 weeks","04","3000 - 3499 grams","07",180,3171.45
,"Alabama","01","2016","2016","32 - 35 weeks","04","3500 - 3999 grams","08",48,3692.31
,"Alabama","01","2016","2016","32 - 35 weeks","04","4000 - 4499 grams","09",10,4193.20
,"Alabama","01","2016","2016","36 weeks","05","1000 - 1499 grams","03",10,1373.60
,"Alabama","01","2016","2016","36 weeks","05","1500 - 1999 grams","04",110,1858.00
,"Alabama","01","2016","2016","36 weeks","05","2000 - 2499 grams","05",692,2308.29
,"Alabama","01","2016","2016","36 weeks","05","2500 - 2999 grams","06",1141,2744.08
,"Alabama","01","2016","2016","36 weeks","05","3000 - 3499 grams","07",527,3189.35
,"Alabama","01","2016","2016","36 weeks","05","3500 - 3999 grams","08",128,3701.90
,"Alabama","01","2016","2016","36 weeks","05","4000 - 4499 grams","09",25,4143.68
,"Alabama","01","2016","2016","37 - 39 weeks","06","1000 - 1499 grams","03",15,1341.07
,"Alabama","01","2016","2016","37 - 39 weeks","06","1500 - 1999 grams","04",97,1838.01
,"Alabama","01","2016","2016","37 - 39 weeks","06","2000 - 2499 grams","05",1652,2345.00
,"Alabama","01","2016","2016","37 - 39 weeks","06","2500 - 2999 grams","06",9388,2801.41
,"Alabama","01","2016","2016","37 - 39 weeks","06","3000 - 3499 grams","07",17712,3245.27
,"Alabama","01","2016","2016","37 - 39 weeks","06","3500 - 3999 grams","08",9801,3705.20
,"Alabama","01","2016","2016","37 - 39 weeks","06","4000 - 4499 grams","09",2120,4178.93
,"Alabama","01","2016","2016","37 - 39 weeks","06","4500 - 4999 grams","10",307,4670.23
,"Alabama","01","2016","2016","37 - 39 weeks","06","5000 - 8165 grams","11",49,5238.73
,"Alabama","01","2016","2016","40 weeks","07","2000 - 2499 grams","05",69,2371.32
,"Alabama","01","2016","2016","40 weeks","07","2500 - 2999 grams","06",970,2838.03
,"Alabama","01","2016","2016","40 weeks","07","3000 - 3499 grams","07",3745,3271.23
,"Alabama","01","2016","2016","40 weeks","07","3500 - 3999 grams","08",3273,3721.94
,"Alabama","01","2016","2016","40 weeks","07","4000 - 4499 grams","09",821,4178.67
,"Alabama","01","2016","2016","40 weeks","07","4500 - 4999 grams","10",101,4651.18
,"Alabama","01","2016","2016","40 weeks","07","5000 - 8165 grams","11",10,5100.70
,"Alabama","01","2016","2016","41 weeks","08","2500 - 2999 grams","06",134,2861.56
,"Alabama","01","2016","2016","41 weeks","08","3000 - 3499 grams","07",646,3280.72
,"Alabama","01","2016","2016","41 weeks","08","3500 - 3999 grams","08",748,3720.01
,"Alabama","01","2016","2016","41 weeks","08","4000 - 4499 grams","09",240,4190.76
,"Alabama","01","2016","2016","41 weeks","08","4500 - 4999 grams","10",38,4671.55
,"Alabama","01","2016","2016","42 weeks or more","09","3000 - 3499 grams","07",20,3316.55
,"Alabama","01","2016","2016","42 weeks or more","09","3500 - 3999 grams","08",33,3754.48
,"Alabama","01","2016","2016","42 weeks or more","09","4000 - 4499 grams","09",22,4206.41
,"Alabama","01","2016","2016","Unknown or Not Stated","10","2500 - 2999 grams","06",11,2746.09
,"Alabama","01","2017","2017","Under 20 weeks","01","499 grams or less","01",12,270.33
,"Alabama","01","2017","2017","20 - 27 weeks","02","499 grams or less","01",96,403.28
,"Alabama","01","2017","2017","20 - 27 weeks","02","500 - 999 grams","02",317,726.50
,"Alabama","01","2017","2017","20 - 27 weeks","02","1000 - 1499 grams","03",63,1141.29
,"Alabama","01","2017","2017","28 - 31 weeks","03","500 - 999 grams","02",105,857.98
,"Alabama","01","2017","2017","28 - 31 weeks","03","1000 - 1499 grams","03",349,1248.85
,"Alabama","01","2017","2017","28 - 31 weeks","03","1500 - 1999 grams","04",172,1668.19
,"Alabama","01","2017","2017","28 - 31 weeks","03","2000 - 2499 grams","05",26,2178.15
,"Alabama","01","2017","2017","32 - 35 weeks","04","1000 - 1499 grams","03",148,1337.82
,"Alabama","01","2017","2017","32 - 35 weeks","04","1500 - 1999 grams","04",810,1794.65
,"Alabama","01","2017","2017","32 - 35 weeks","04","2000 - 2499 grams","05",1326,2249.60
,"Alabama","01","2017","2017","32 - 35 weeks","04","2500 - 2999 grams","06",726,2704.69
,"Alabama","01","2017","2017","32 - 35 weeks","04","3000 - 3499 grams","07",174,3179.28
,"Alabama","01","2017","2017","32 - 35 weeks","04","3500 - 3999 grams","08",34,3706.15
,"Alabama","01","2017","2017","36 weeks","05","1500 - 1999 grams","04",93,1853.77
,"Alabama","01","2017","2017","36 weeks","05","2000 - 2499 grams","05",695,2305.75
,"Alabama","01","2017","2017","36 weeks","05","2500 - 2999 grams","06",1177,2744.34
,"Alabama","01","2017","2017","36 weeks","05","3000 - 3499 grams","07",554,3182.79
,"Alabama","01","2017","2017","36 weeks","05","3500 - 3999 grams","08",126,3698.10
